ball_x,ball_y,ball_vx,ball_vy,paddle_direction,paddle_y,Ball.RADIUS,Paddle.L,Paddle.STEP,WIDTH,HEIGHT,BORDER,VELOCITY,FPS
770,200,-12,7,0,200,10,80,20,800,400,20,12,30
770,200,-12,7,0,200,10,80,20,800,400,20,12,30
758,207,-12,7,0,200,10,80,20,800,400,20,12,30
746,214,-12,7,0,200,10,80,20,800,400,20,12,30
734,221,-12,7,0,200,10,80,20,800,400,20,12,30
722,228,-12,7,0,200,10,80,20,800,400,20,12,30
710,235,-12,7,0,200,10,80,20,800,400,20,12,30
698,242,-12,7,0,200,10,80,20,800,400,20,12,30
686,249,-12,7,0,200,10,80,20,800,400,20,12,30
674,256,-12,7,0,200,10,80,20,800,400,20,12,30
662,263,-12,7,0,200,10,80,20,800,400,20,12,30
650,270,-12,7,0,200,10,80,20,800,400,20,12,30
638,277,-12,7,0,200,10,80,20,800,400,20,12,30
626,284,-12,7,0,200,10,80,20,800,400,20,12,30
614,291,-12,7,0,200,10,80,20,800,400,20,12,30
602,298,-12,7,0,200,10,80,20,800,400,20,12,30
590,305,-12,7,0,200,10,80,20,800,400,20,12,30
578,312,-12,7,0,200,10,80,20,800,400,20,12,30
566,319,-12,7,0,200,10,80,20,800,400,20,12,30
554,326,-12,7,0,200,10,80,20,800,400,20,12,30
542,333,-12,7,0,200,10,80,20,800,400,20,12,30
530,340,-12,7,0,200,10,80,20,800,400,20,12,30
518,347,-12,7,0,200,10,80,20,800,400,20,12,30
506,354,-12,7,0,200,10,80,20,800,400,20,12,30
494,361,-12,7,0,200,10,80,20,800,400,20,12,30
482,368,-12,7,0,200,10,80,20,800,400,20,12,30
470,361,-12,-7,0,200,10,80,20,800,400,20,12,30
458,354,-12,-7,0,200,10,80,20,800,400,20,12,30
446,347,-12,-7,0,200,10,80,20,800,400,20,12,30
434,340,-12,-7,0,200,10,80,20,800,400,20,12,30
422,333,-12,-7,0,200,10,80,20,800,400,20,12,30
410,326,-12,-7,0,200,10,80,20,800,400,20,12,30
398,319,-12,-7,0,200,10,80,20,800,400,20,12,30
386,312,-12,-7,0,200,10,80,20,800,400,20,12,30
374,305,-12,-7,0,200,10,80,20,800,400,20,12,30
362,298,-12,-7,0,200,10,80,20,800,400,20,12,30
350,291,-12,-7,0,200,10,80,20,800,400,20,12,30
338,284,-12,-7,0,200,10,80,20,800,400,20,12,30
326,277,-12,-7,0,200,10,80,20,800,400,20,12,30
314,270,-12,-7,0,200,10,80,20,800,400,20,12,30
302,263,-12,-7,0,200,10,80,20,800,400,20,12,30
290,256,-12,-7,0,200,10,80,20,800,400,20,12,30
278,249,-12,-7,0,200,10,80,20,800,400,20,12,30
266,242,-12,-7,0,200,10,80,20,800,400,20,12,30
254,235,-12,-7,0,200,10,80,20,800,400,20,12,30
242,228,-12,-7,0,200,10,80,20,800,400,20,12,30
230,221,-12,-7,0,200,10,80,20,800,400,20,12,30
218,214,-12,-7,0,200,10,80,20,800,400,20,12,30
206,207,-12,-7,0,200,10,80,20,800,400,20,12,30
194,200,-12,-7,0,200,10,80,20,800,400,20,12,30
182,193,-12,-7,0,200,10,80,20,800,400,20,12,30
170,186,-12,-7,0,200,10,80,20,800,400,20,12,30
158,179,-12,-7,0,200,10,80,20,800,400,20,12,30
146,172,-12,-7,0,200,10,80,20,800,400,20,12,30
134,165,-12,-7,0,200,10,80,20,800,400,20,12,30
122,158,-12,-7,0,200,10,80,20,800,400,20,12,30
110,151,-12,-7,0,200,10,80,20,800,400,20,12,30
98,144,-12,-7,0,200,10,80,20,800,400,20,12,30
86,137,-12,-7,0,200,10,80,20,800,400,20,12,30
74,130,-12,-7,0,200,10,80,20,800,400,20,12,30
62,123,-12,-7,0,200,10,80,20,800,400,20,12,30
50,116,-12,-7,0,200,10,80,20,800,400,20,12,30
38,109,-12,-7,0,200,10,80,20,800,400,20,12,30
50,102,12,-7,0,200,10,80,20,800,400,20,12,30
62,95,12,-7,0,200,10,80,20,800,400,20,12,30
74,88,12,-7,0,200,10,80,20,800,400,20,12,30
86,81,12,-7,0,200,10,80,20,800,400,20,12,30
98,74,12,-7,0,200,10,80,20,800,400,20,12,30
110,67,12,-7,0,200,10,80,20,800,400,20,12,30
122,60,12,-7,0,200,10,80,20,800,400,20,12,30
134,53,12,-7,-1,200,10,80,20,800,400,20,12,30
146,46,12,-7,0,180,10,80,20,800,400,20,12,30
158,39,12,-7,0,180,10,80,20,800,400,20,12,30
170,32,12,-7,0,180,10,80,20,800,400,20,12,30
182,39,12,7,0,180,10,80,20,800,400,20,12,30
194,46,12,7,0,180,10,80,20,800,400,20,12,30
206,53,12,7,0,180,10,80,20,800,400,20,12,30
218,60,12,7,0,180,10,80,20,800,400,20,12,30
230,67,12,7,0,180,10,80,20,800,400,20,12,30
242,74,12,7,0,180,10,80,20,800,400,20,12,30
254,81,12,7,0,180,10,80,20,800,400,20,12,30
266,88,12,7,0,180,10,80,20,800,400,20,12,30
278,95,12,7,0,180,10,80,20,800,400,20,12,30
290,102,12,7,0,180,10,80,20,800,400,20,12,30
302,109,12,7,0,180,10,80,20,800,400,20,12,30
314,116,12,7,0,180,10,80,20,800,400,20,12,30
326,123,12,7,1,180,10,80,20,800,400,20,12,30
338,130,12,7,0,200,10,80,20,800,400,20,12,30
350,137,12,7,0,200,10,80,20,800,400,20,12,30
362,144,12,7,0,200,10,80,20,800,400,20,12,30
374,151,12,7,1,200,10,80,20,800,400,20,12,30
386,158,12,7,0,220,10,80,20,800,400,20,12,30
398,165,12,7,0,220,10,80,20,800,400,20,12,30
410,172,12,7,0,220,10,80,20,800,400,20,12,30
422,179,12,7,0,220,10,80,20,800,400,20,12,30
434,186,12,7,1,220,10,80,20,800,400,20,12,30
446,193,12,7,0,240,10,80,20,800,400,20,12,30
458,200,12,7,0,240,10,80,20,800,400,20,12,30
470,207,12,7,0,240,10,80,20,800,400,20,12,30
482,214,12,7,1,240,10,80,20,800,400,20,12,30
494,221,12,7,0,260,10,80,20,800,400,20,12,30
506,228,12,7,0,260,10,80,20,800,400,20,12,30
518,235,12,7,0,260,10,80,20,800,400,20,12,30
530,242,12,7,1,260,10,80,20,800,400,20,12,30
542,249,12,7,0,280,10,80,20,800,400,20,12,30
554,256,12,7,0,280,10,80,20,800,400,20,12,30
566,263,12,7,0,280,10,80,20,800,400,20,12,30
578,270,12,7,1,280,10,80,20,800,400,20,12,30
590,277,12,7,0,300,10,80,20,800,400,20,12,30
602,284,12,7,0,300,10,80,20,800,400,20,12,30
614,291,12,7,0,300,10,80,20,800,400,20,12,30
626,298,12,7,1,300,10,80,20,800,400,20,12,30
638,305,12,7,0,320,10,80,20,800,400,20,12,30
650,312,12,7,0,320,10,80,20,800,400,20,12,30
662,319,12,7,1,320,10,80,20,800,400,20,12,30
674,326,12,7,0,340,10,80,20,800,400,20,12,30
686,333,12,7,0,340,10,80,20,800,400,20,12,30
698,340,12,7,0,340,10,80,20,800,400,20,12,30
710,347,12,7,0,340,10,80,20,800,400,20,12,30
722,354,12,7,0,340,10,80,20,800,400,20,12,30
734,361,12,7,-1,340,10,80,20,800,400,20,12,30
746,368,12,7,0,320,10,80,20,800,400,20,12,30
758,361,12,-7,0,320,10,80,20,800,400,20,12,30
770,354,12,-7,0,320,10,80,20,800,400,20,12,30
758,347,-12,-7,0,320,10,80,20,800,400,20,12,30
746,340,-12,-7,0,320,10,80,20,800,400,20,12,30
734,333,-12,-7,0,320,10,80,20,800,400,20,12,30
722,326,-12,-7,0,320,10,80,20,800,400,20,12,30
710,319,-12,-7,0,320,10,80,20,800,400,20,12,30
698,312,-12,-7,0,320,10,80,20,800,400,20,12,30
686,305,-12,-7,0,320,10,80,20,800,400,20,12,30
674,298,-12,-7,0,320,10,80,20,800,400,20,12,30
662,291,-12,-7,0,320,10,80,20,800,400,20,12,30
650,284,-12,-7,0,320,10,80,20,800,400,20,12,30
638,277,-12,-7,0,320,10,80,20,800,400,20,12,30
626,270,-12,-7,0,320,10,80,20,800,400,20,12,30
614,263,-12,-7,0,320,10,80,20,800,400,20,12,30
602,256,-12,-7,0,320,10,80,20,800,400,20,12,30
590,249,-12,-7,0,320,10,80,20,800,400,20,12,30
578,242,-12,-7,0,320,10,80,20,800,400,20,12,30
566,235,-12,-7,0,320,10,80,20,800,400,20,12,30
554,228,-12,-7,0,320,10,80,20,800,400,20,12,30
542,221,-12,-7,0,320,10,80,20,800,400,20,12,30
530,214,-12,-7,0,320,10,80,20,800,400,20,12,30
518,207,-12,-7,0,320,10,80,20,800,400,20,12,30
506,200,-12,-7,0,320,10,80,20,800,400,20,12,30
494,193,-12,-7,0,320,10,80,20,800,400,20,12,30
482,186,-12,-7,0,320,10,80,20,800,400,20,12,30
470,179,-12,-7,0,320,10,80,20,800,400,20,12,30
458,172,-12,-7,0,320,10,80,20,800,400,20,12,30
446,165,-12,-7,0,320,10,80,20,800,400,20,12,30
434,158,-12,-7,0,320,10,80,20,800,400,20,12,30
422,151,-12,-7,0,320,10,80,20,800,400,20,12,30
410,144,-12,-7,0,320,10,80,20,800,400,20,12,30
